	3399-OG-10	3399-OG-13	3399-OG-14	3399-OG-15	3399-OG-16	3399-OG-19	3399-OG-20	3399-OG-31	3399-OG-32	3399-OG-33	3399-OG-34	3399-OG-9
ISOC1	74	101	112	3	30	25	16	73	58	78	80	70
MIR4633	0	0	0	0	0	0	0	0	0	0	0	0
AC008679.1	0	0	0	0	0	0	0	0	0	0	0	0
MIR4460	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0	0	0	0	0
AC008591.1	0	0	1	0	0	0	0	0	0	0	0	0
MINAR2	1	0	0	0	0	0	1	0	0	0	0	0
CHSY3	0	0	0	0	0	0	0	0	0	0	0	0
RNU6ATAC10P	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP191	0	0	0	0	0	0	0	0	0	0	0	0
HSPA8P4	0	2	0	0	0	0	0	0	0	0	0	0
RNU7-53P	0	0	0	0	0	0	0	0	0	0	0	0
ARL2BPP4	0	0	0	0	0	0	0	0	0	0	0	0
AC005741.1	0	0	0	0	0	0	0	0	0	0	0	0
AC006525.1	0	0	0	0	0	0	0	0	0	0	0	0
AC113367.1	2	0	0	0	0	0	0	1	1	0	1	0
AC113367.3	0	0	0	0	0	0	0	0	0	0	0	0
AC113367.2	0	0	0	0	0	0	0	0	0	0	0	0
HINT1	1907	1279	1197	125	285	332	280	1270	1326	1498	1275	1699
LYRM7	119	249	137	18	22	28	30	123	140	139	100	151
CDC42SE2	1217	1670	2026	207	317	318	181	1105	1056	1041	1166	1465
AC004777.1	0	0	1	0	0	0	0	1	0	0	0	1
RAPGEF6	92	92	122	5	14	28	17	82	105	66	81	106
AC008695.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008497.1	0	0	0	0	0	0	0	0	0	0	0	0
FNIP1	200	390	273	410	313	249	139	212	112	198	100	272
AC008695.2	0	0	0	0	0	1	0	0	0	0	0	0
AC005593.1	2	4	3	5	5	9	6	3	1	4	1	1
MEIKIN	0	0	0	0	0	0	0	0	0	0	0	0
AC034228.3	0	0	0	0	0	0	0	0	0	0	0	0
AC034228.2	0	0	0	0	0	0	0	0	0	0	0	0
ACSL6	7	15	8	2	3	4	0	10	8	12	9	13
ACSL6-AS1	0	0	0	0	0	0	0	0	0	0	0	0
AC034228.1	0	0	0	0	0	0	0	0	0	0	0	0
IL3	0	0	0	0	0	0	0	0	0	0	0	0
CSF2	0	1	1	0	2	0	0	1	0	2	0	0
AC034216.1	0	0	0	0	0	0	0	0	0	0	0	0
AC063976.3	0	0	0	0	0	0	0	0	0	0	0	0
AC063976.4	0	0	0	0	0	0	0	0	0	0	0	0
AC063976.1	0	0	0	0	0	0	0	0	0	0	0	0
P4HA2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
P4HA2	0	2	3	1	2	3	12	2	0	2	2	0
AC063976.2	0	0	0	0	0	0	0	0	0	0	0	0
MIR6830	0	0	0	0	0	0	0	0	0	0	0	0
PDLIM4	0	1	0	0	0	0	0	2	0	0	0	0
SLC22A4	2	14	8	41	23	14	1	21	5	9	3	1
MIR3936HG	3	3	5	2	0	3	1	9	2	3	2	2
MIR3936	0	0	0	0	0	0	0	0	0	0	0	0
SLC22A5	17	27	27	1	3	4	6	18	21	17	19	20
IRF1-AS1	41	208	366	5	7	11	12	141	256	146	216	38
AC116366.2	0	0	0	0	0	0	0	0	0	0	0	0
LINC02863	2	3	0	0	0	0	0	0	0	3	0	0
Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0
AC116366.1	6	54	84	2	6	6	2	16	43	12	33	17
IRF1	439	788	1019	357	283	240	222	1085	1519	1021	1252	444
IL5	0	0	3	0	0	0	0	0	0	0	0	0
RAD50	4	6	7	1	0	0	0	0	3	1	5	4
TH2LCRR	0	0	0	1	0	0	0	0	0	0	0	0
IL13	0	0	0	0	0	0	0	0	1	0	9	0
IL4	0	0	0	0	0	0	0	0	0	0	1	0
AC004039.1	0	0	0	0	0	0	0	0	0	0	2	0
KIF3A	56	131	89	7	13	12	15	42	56	47	47	90
CCNI2	10	8	11	1	0	0	0	8	9	10	11	23
SEPTIN8	8	20	14	3	0	0	4	3	0	9	5	28
SOWAHA	0	0	0	0	0	0	0	0	0	0	0	0
AC004775.1	0	0	0	0	0	0	0	0	0	0	0	0
SHROOM1	0	0	1	4	1	2	0	0	0	3	0	0
RNA5SP192	0	0	0	0	0	0	0	0	0	0	0	0
GDF9	1	0	1	0	0	0	0	0	0	0	0	0
UQCRQ	545	453	399	178	285	123	91	351	364	379	315	504
LEAP2	10	2	8	2	1	0	1	3	3	1	5	5
AFF4	309	435	407	96	236	203	101	357	192	363	299	324
AC010240.2	0	1	2	0	0	0	0	0	1	0	0	0
Y_RNA	0	1	0	0	0	0	0	1	0	0	0	0
ATP6V0E1P1	0	0	0	0	0	0	0	2	0	0	0	0
AC010240.3	0	0	0	1	0	0	0	0	0	0	0	1
AC010240.1	0	0	0	0	0	0	0	0	0	0	0	0
Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0
ZCCHC10	162	219	239	109	146	75	36	153	150	145	116	214
AC113410.1	0	0	0	0	0	0	0	1	0	0	0	1
AC113410.5	0	0	0	2	0	1	1	0	0	0	0	0
AC113410.4	1	2	3	1	4	0	1	2	0	1	2	3
HSPA4	223	227	176	92	110	70	50	140	126	99	110	218
AC113410.3	3	2	1	2	0	7	4	5	1	2	1	4
AC113410.2	0	0	0	0	0	0	0	0	0	0	0	0
AC010307.2	0	0	0	0	0	0	0	0	0	0	0	0
AC010307.1	0	0	0	0	0	0	0	0	0	0	0	0
FSTL4	0	0	0	0	0	0	2	1	0	0	0	0
AC010307.3	0	0	0	0	0	0	0	0	0	0	0	0
AC010307.4	0	0	0	0	0	0	0	0	0	0	0	0
AC010608.1	0	0	0	0	0	0	0	0	0	0	0	0
MIR1289-2	0	0	0	0	0	0	0	0	0	0	0	0
AC010608.3	0	0	0	0	0	0	0	0	0	0	0	0
AC010608.2	0	0	0	0	0	0	0	0	0	0	0	0
AC005178.1	0	0	0	0	0	0	0	0	0	0	0	0
WSPAR	0	0	0	0	0	0	0	0	0	0	0	0
C5orf15	66	95	101	7	53	29	8	79	47	84	84	92
VDAC1	203	317	293	59	236	110	38	263	189	257	238	230
AC008608.2	0	1	1	0	0	1	0	0	2	2	0	1
AC008608.1	0	0	0	0	0	0	0	0	0	0	0	0
TCF7	732	497	293	43	60	134	140	494	377	380	374	784
SKP1	553	762	558	240	305	191	115	413	369	357	359	535
AC104109.3	0	0	0	0	0	0	0	0	0	0	0	0
PPP2CA	500	667	629	458	572	272	171	371	318	325	281	531
AC104109.4	1	2	3	0	1	0	1	1	1	1	3	6
MIR3661	0	0	0	0	0	0	0	0	0	0	0	0
AC104109.2	1	1	1	0	1	0	1	0	0	0	0	0
AC104109.1	0	0	0	0	0	0	0	0	0	0	0	0
CDKL3	4	5	2	2	0	3	0	1	2	5	0	7
UBE2B	974	1122	1011	429	857	621	330	795	490	831	751	1067
AC109454.4	0	1	0	0	1	0	0	1	1	0	5	0
AC109454.2	2	27	15	2	4	3	0	16	15	6	11	11
CDKN2AIPNL	21	21	14	0	1	1	3	8	15	6	13	25
AC109454.1	2	0	0	0	0	1	0	0	1	0	1	0
AC109454.3	0	0	0	0	0	0	0	0	0	0	0	0
AC005355.1	0	0	1	0	0	0	0	0	0	0	0	0
RNU6-456P	0	0	0	0	0	0	0	0	0	0	0	0
LINC01843	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL541P	0	0	0	0	0	0	0	0	0	0	0	0
AC005355.2	1	0	0	0	0	0	0	1	0	0	0	1
JADE2	149	176	148	21	23	43	35	90	105	87	67	178
SAR1B	233	283	235	159	192	108	56	150	110	146	106	240
RNU6-1311P	0	0	0	0	0	0	0	0	0	0	0	0
SEC24A	156	142	198	90	167	100	67	199	146	199	132	174
RNU6-1164P	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-757P	0	0	1	0	0	0	0	0	0	0	0	0
CAMLG	293	340	258	84	76	116	64	227	133	247	186	305
DDX46	243	356	280	47	56	69	75	197	164	176	154	311
AC010301.1	0	0	0	0	0	0	0	0	0	0	0	0
C5orf24	69	191	111	54	54	29	21	77	131	127	111	77
AC006077.1	0	0	0	0	0	0	0	0	0	0	0	0
TXNDC15	118	136	115	41	38	31	34	64	66	66	60	96
PCBD2	10	40	26	14	13	13	2	15	11	11	9	7
AC006077.2	1	2	1	3	0	0	0	1	1	0	2	3
MTCYBP18	7	5	3	7	10	12	14	2	1	0	2	5
MTND6P4	13	7	10	10	11	17	5	6	4	6	6	15
MTND5P11	16	9	13	22	14	34	25	9	6	1	4	22
MTND4P12	65	51	28	100	96	127	107	29	13	13	18	62
MTND4LP30	2	3	3	2	4	12	4	0	1	1	1	10
AC008670.1	0	0	0	0	0	0	0	0	0	0	0	0
MTND3P25	0	1	0	3	2	2	0	0	1	3	0	0
CATSPER3	0	0	0	0	1	0	0	0	0	0	0	0
PITX1	0	0	0	1	0	0	0	1	0	0	0	0
C5orf66	0	4	1	0	0	0	1	2	1	2	0	1
AC008406.3	0	0	0	0	0	0	0	0	0	0	0	0
C5orf66-AS1	0	0	0	0	0	0	0	0	0	0	0	0
AC008406.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008406.1	0	0	0	0	0	0	0	1	0	0	0	0
C5orf66-AS2	0	0	0	0	0	0	0	0	0	0	0	0
MACROH2A1	153	463	213	325	258	277	105	312	124	304	146	151
AC026691.1	0	1	1	0	0	0	0	0	0	0	0	0
DCANP1	0	0	0	0	0	0	0	0	0	0	0	0
TIFAB	0	20	10	0	0	0	0	2	0	4	0	0
AC022092.1	0	0	0	0	0	0	0	0	0	0	0	0
NEUROG1	0	0	0	0	0	0	0	0	0	0	0	0
AC034206.1	0	0	0	0	0	0	0	0	0	0	0	0
CXCL14	47	32	32	13	87	130	16	45	2	48	22	72
SLC25A48	0	0	1	0	1	0	0	0	0	0	0	0
SLC25A48-AS1	0	0	0	0	0	0	0	0	0	0	0	0
AC011431.1	0	0	0	0	0	0	0	0	0	0	0	0
MIR5692C1	0	0	0	0	0	0	0	0	0	0	0	0
AC114296.1	0	0	0	2	0	0	0	0	0	0	0	0
IL9	0	0	0	0	0	0	0	0	0	0	0	0
AC002428.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002428.1	0	0	0	0	0	0	0	0	0	0	0	0
LECT2	0	0	0	0	0	0	0	0	0	0	0	0
FBXL21P	0	0	0	0	0	0	0	0	0	0	0	0
TGFBI	15	1601	84	217	91	10	6	452	71	401	51	28
VTRNA2-1	0	0	2	0	1	0	0	1	2	0	0	0
Vault	0	0	0	0	0	0	0	0	0	0	0	0
SMAD5-AS1	0	0	1	2	0	0	0	0	1	0	1	0
AC009014.4	0	0	0	0	0	0	0	0	0	0	0	0
SMAD5	73	254	127	73	54	31	16	52	46	36	33	105
AC009014.2	0	0	0	0	0	0	0	0	0	0	0	0
AC009014.3	0	0	0	0	0	0	0	0	0	0	0	0
AC009014.1	0	0	0	0	0	0	0	0	0	0	0	0
SMIM32	0	0	0	0	0	0	0	0	0	0	0	0
TRPC7	0	0	0	0	0	0	0	0	0	0	0	0
TRPC7-AS1	0	0	0	0	0	0	0	0	0	0	0	0
TRPC7-AS2	0	0	0	0	0	0	0	0	0	0	0	0
AC063980.1	0	0	0	0	0	0	0	0	0	0	0	0
HSPD1P18	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA1P13	0	0	0	0	0	0	0	0	0	0	0	0
AC112178.1	0	0	0	0	0	0	0	0	0	0	1	0
AC109439.1	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD49P3	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP193	0	0	0	0	0	0	0	0	0	0	0	0
SPOCK1	0	0	0	0	0	0	0	2	0	0	0	0
KLHL3	1	6	4	0	1	0	0	7	6	2	10	9
MIR874	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA0	1419	1386	1207	409	735	301	235	1642	1368	1574	1124	1549
AC106791.3	0	0	0	0	0	0	0	0	0	0	0	0
AC106791.2	0	0	0	0	0	0	0	0	0	0	0	0
NPY6R	0	0	0	0	0	0	0	0	0	0	0	0
AC106791.1	13	23	14	2	1	6	1	5	10	11	1	15
MYOT	0	3	2	1	1	0	0	0	0	1	0	3
PKD2L2	1	4	1	1	0	0	0	2	3	1	0	0
FAM13B	121	260	203	114	53	49	27	80	50	53	75	127
AC113382.1	0	0	0	0	0	0	0	0	0	0	0	0
AC113382.2	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1148P	0	0	0	0	0	0	0	0	0	0	0	0
WNT8A	0	0	0	0	0	0	0	0	0	0	0	0
NME5	0	0	0	0	0	0	0	0	0	1	0	0
RNU6-460P	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-888P	0	0	0	0	0	0	0	0	0	0	0	0
BRD8	53	140	91	51	34	20	11	93	44	65	49	85
KIF20A	0	0	0	0	0	0	0	0	0	0	0	1
CDC23	31	35	27	2	9	11	6	25	16	31	35	24
GFRA3	0	0	0	0	0	0	0	0	0	0	0	0
RPS27AP18	0	0	0	0	0	0	0	0	0	0	0	0
CDC25C	1	1	1	1	0	1	0	0	2	0	0	0
FAM53C	51	96	67	101	50	39	44	71	51	88	39	71
AC104116.1	0	0	0	0	0	0	0	0	0	0	0	0
KDM3B	24	73	42	24	20	27	12	37	18	19	23	45
REEP2	0	0	1	0	0	0	0	0	0	0	0	0
AC113403.1	0	0	0	0	0	0	0	0	0	0	0	0
EGR1	46	47	142	177	261	193	201	169	180	177	177	53
RPL7P19	0	0	0	0	0	1	1	0	0	0	0	0
ETF1	234	299	346	212	311	203	120	176	114	163	143	221
HSPA9	345	317	318	123	264	149	107	239	215	173	197	382
SNORD63B	0	0	0	0	0	0	0	0	0	0	0	0
SNORD63	2	6	5	0	1	0	1	0	1	2	6	2
CTNNA1	13	141	100	93	166	28	18	159	105	134	108	40
AC113340.1	0	0	0	0	0	0	0	0	0	0	0	0
AC113340.2	0	0	1	0	0	0	0	0	0	0	0	0
AC034243.1	0	1	0	0	0	0	0	1	0	0	0	0
LRRTM2	0	8	17	4	8	2	0	0	4	5	4	0
SIL1	5	17	7	12	7	1	2	10	6	7	8	0
RNA5SP194	2	5	5	0	0	0	2	3	10	6	6	0
AC011405.1	2	7	4	2	1	0	0	8	5	3	4	2
RPL12P21	0	0	0	0	0	0	0	1	0	0	0	0
RNU6-572P	0	0	0	0	0	0	0	0	0	0	0	0
MATR3	1	0	0	1	2	0	0	0	0	1	0	0
SNHG4	4	2	5	2	2	7	0	7	7	3	6	4
SNORA74D	2	1	1	0	0	0	0	2	0	0	1	0
SNORA74A	8	4	1	3	8	3	2	0	2	1	0	7
MATR3	7	11	9	7	7	5	0	18	17	11	16	10
RNA5SP195	0	0	0	0	0	0	0	0	0	1	0	0
RN7SKP64	0	0	1	0	0	0	0	1	0	0	0	0
PAIP2	164	206	171	229	193	85	74	100	97	116	84	152
AC135457.1	0	0	0	0	0	0	0	0	0	0	0	0
SLC23A1	0	0	0	0	1	1	0	0	1	0	1	0
MZB1	0	2	1	1	0	3	1	1	2	7	2	3
PROB1	1	1	2	1	0	0	2	0	1	0	2	1
SPATA24	2	2	1	0	2	1	0	3	0	4	1	1
DNAJC18	34	28	12	4	1	9	11	10	5	7	13	23
AC142391.1	0	0	0	0	0	0	0	0	0	0	0	0
RNU5B-4P	0	0	0	0	0	0	0	0	0	0	0	0
ECSCR	0	0	0	0	0	0	0	0	0	0	0	0
SMIM33	0	0	0	0	0	0	0	0	0	0	0	0
STING1	53	65	71	20	12	8	6	35	30	27	21	48
AC138517.1	0	0	0	0	0	0	0	0	0	0	0	1
NCOA4P4	0	0	0	0	0	0	0	0	0	0	0	0
AC010378.1	0	0	0	0	0	1	0	0	0	0	0	0
UBE2D2	806	744	529	267	448	243	171	541	402	534	401	966
Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0
H3P25	0	0	0	0	0	0	0	0	0	0	0	0
AC113361.1	0	0	0	0	0	0	0	0	0	0	0	0
CXXC5	38	112	26	25	12	44	12	109	26	92	21	28
CXXC5-AS1	0	0	1	0	0	0	0	0	0	0	0	0
AC008667.1	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-236P	0	0	0	0	0	0	0	0	0	0	0	0
PSD2-AS1	0	0	0	0	0	0	1	0	0	0	0	1
AC008667.3	0	0	0	0	0	0	0	0	0	0	0	0
AC008667.4	0	0	0	0	0	0	0	0	0	0	0	0
PSD2	0	0	0	0	0	0	0	1	0	0	0	1
NRG2	2	3	1	0	0	2	1	3	4	5	5	3
AC008667.2	0	0	0	0	0	0	0	0	0	0	0	0
AC010292.1	0	0	0	0	0	0	0	0	0	0	0	0
MALINC1	22	16	4	1	0	2	0	8	6	5	4	17
PURA	456	630	382	116	119	117	96	249	149	231	182	583
IGIP	13	17	26	2	1	1	0	16	5	10	11	22
AC011379.2	1	4	3	1	0	0	0	0	1	0	0	0
CYSTM1	315	83	115	67	116	150	60	523	211	646	448	315
AC011379.1	12	9	8	3	4	2	2	10	15	7	9	10
PFDN1	100	80	69	24	37	28	17	45	37	36	30	96
HBEGF	14	8	10	12	35	25	43	34	33	31	38	8
AC008438.2	0	0	0	0	0	0	0	0	0	0	0	0
SLC4A9	0	0	0	0	0	0	0	0	0	0	0	0
AC008438.1	0	0	1	1	1	0	1	0	0	0	2	1
RNU4-14P	0	0	0	0	0	0	0	0	1	3	0	0
ANKHD1	50	47	35	20	31	10	4	29	34	34	28	28
ANKHD1-EIF4EBP3	1	11	5	3	1	0	0	5	1	2	4	2
AC011399.1	0	1	0	0	0	0	0	0	0	0	0	0
SRA1	29	40	37	40	27	10	18	24	12	24	26	31
EIF4EBP3	0	0	0	0	0	0	1	0	0	0	0	0
APBB3	7	7	3	4	7	1	4	27	14	13	9	3
AC116353.5	0	0	0	0	0	0	0	0	0	0	0	0
MIR6831	0	0	0	0	0	0	0	0	0	0	0	0
SLC35A4	59	61	55	49	31	10	8	60	54	50	38	55
AC116353.6	0	2	0	1	1	1	0	4	0	0	0	0
AC116353.1	0	2	0	0	0	0	0	0	0	0	0	0
HAUS1P1	0	0	0	0	0	0	0	0	0	0	0	0
AC116353.2	0	0	0	0	0	0	0	0	0	0	0	0
CD14	1	690	68	345	61	37	25	68	14	73	17	2
NDUFA2	243	239	181	146	132	80	35	231	158	286	170	274
TMCO6	1	1	1	0	0	0	0	5	0	2	2	1
IK	465	456	338	192	146	204	133	267	160	250	198	536
MIR3655	0	0	0	0	0	0	0	0	0	0	0	0
WDR55	48	57	46	34	13	13	9	25	22	22	35	65
DND1	0	0	0	0	0	0	0	0	0	0	0	0
HARS1	21	28	31	8	8	9	5	20	28	19	26	27
HARS2	84	55	45	18	24	17	15	47	55	52	46	90
ZMAT2	621	948	765	481	287	153	132	516	405	445	367	593
VTRNA1-1	43	16	25	2	31	18	16	25	31	21	20	39
VTRNA1-2	0	0	1	1	0	0	0	0	0	0	0	0
VTRNA1-3	6	9	90	11	77	15	9	30	83	12	35	10
AC116353.4	0	0	0	0	0	0	0	0	0	0	0	0
AC116353.3	0	0	0	0	0	0	0	0	0	0	0	0
AC005609.5	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA1	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA2	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA3	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA4	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA5	0	1	0	1	2	0	1	1	0	0	0	0
PCDHA6	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA7	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA8	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA9	0	0	0	0	0	0	0	0	0	0	0	0
AC005609.2	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA10	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA14	0	0	0	0	0	0	0	0	0	0	0	0
AC005609.4	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA11	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA12	0	0	0	0	0	0	0	0	0	0	0	0
AC005609.3	0	0	0	0	0	0	0	0	0	0	0	0
AC005609.1	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA13	0	0	0	0	0	0	0	0	0	0	0	0
PCDHAC1	0	0	0	0	0	0	0	0	0	0	0	0
AC010223.1	0	0	0	0	0	0	0	0	0	0	0	0
PCDHAC2	0	0	0	0	0	0	0	0	0	0	0	0
AC244517.5	0	0	0	0	0	0	0	0	0	0	0	1
PCDHB1	0	0	0	0	0	0	0	0	0	0	0	0
AC244517.9	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB2	1	0	0	0	0	0	0	0	0	0	0	0
AC244517.2	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB3	0	0	0	0	0	0	0	0	0	0	0	0
AC244517.1	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB4	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB5	1	0	0	0	2	0	0	1	0	0	0	0
AC244517.11	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB6	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB17P	0	0	0	0	0	0	0	0	0	0	0	0
AC244517.12	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB7	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB8	0	0	0	0	0	0	0	0	0	0	0	0
AC244517.8	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB16	0	0	3	0	0	0	0	0	0	0	0	0
AC244517.6	0	0	0	0	0	0	0	0	0	0	0	0
AC244517.4	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB9	0	0	1	0	0	0	0	0	0	2	0	0
AC244517.7	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB10	0	2	0	0	0	0	0	0	0	0	0	0
PCDHB11	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB12	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB13	0	1	0	0	0	0	0	0	0	0	0	2
PCDHB14	0	0	0	0	0	0	0	0	0	0	0	0
AC244517.10	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB18P	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB19P	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB15	0	1	0	0	0	0	0	0	0	0	0	1
AC244517.3	0	0	0	0	0	0	0	0	0	0	0	0
TAF7	248	267	341	119	225	192	88	328	280	270	286	303
SLC25A2	0	0	0	0	0	0	0	0	0	0	0	0
AC005618.4	1	0	1	0	0	1	3	2	0	0	1	0
AC005618.1	0	0	0	0	0	1	0	1	1	0	0	0
PCDHGA1	0	2	0	0	0	0	0	0	0	0	1	0
PCDHGA2	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGA3	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGB1	0	0	0	0	0	0	0	0	0	0	0	0
AC005618.3	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGA4	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGB2	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGA5	0	0	1	0	1	0	0	0	1	0	0	2
PCDHGB3	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGA6	1	6	3	1	0	0	0	0	1	2	0	3
PCDHGA7	0	1	0	0	0	0	1	0	0	0	0	0
PCDHGB4	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGA8	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGB5	0	0	0	0	0	0	0	0	0	0	0	1
PCDHGA9	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGB6	0	1	1	0	0	0	0	0	0	1	0	0
PCDHGA10	0	1	0	2	0	1	0	2	0	0	1	0
PCDHGB7	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGA11	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGB8P	0	0	0	0	0	0	0	0	0	0	0	0
AC005618.2	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGA12	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGB9P	0	0	0	0	0	0	0	0	0	0	0	0
AC008781.2	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGC3	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL68P	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGC4	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGC5	0	0	0	0	0	0	0	0	0	0	0	0
DIAPH1	266	506	309	265	252	187	137	457	251	428	262	315
DIAPH1-AS1	4	1	2	0	0	0	0	3	4	5	2	0
RPS27AP10	0	0	0	0	0	0	0	0	0	0	0	0
AC008781.1	1	0	0	0	0	0	0	0	0	0	0	0
HDAC3	109	88	67	57	46	21	23	96	62	83	79	98
RELL2	1	1	2	2	0	0	1	0	0	0	0	1
FCHSD1	4	3	2	0	1	0	0	5	2	4	3	8
ARAP3	8	22	11	11	6	1	1	14	5	12	6	8
AC005753.2	0	0	0	0	0	0	0	0	0	0	0	0
AC005753.3	0	0	0	0	0	0	0	0	0	0	0	0
AC005753.1	0	0	0	0	0	0	0	0	0	0	0	0
PCDH1	0	7	5	0	0	2	0	5	0	2	2	5
AC005740.5	0	0	0	0	0	0	0	0	0	0	0	0
AC005740.1	0	0	0	0	0	0	0	0	0	0	0	0
DELE1	27	85	66	54	38	16	8	73	35	69	45	38
PCDH12	0	6	4	0	0	0	0	0	1	1	0	1
AC005740.4	0	2	0	0	0	0	0	0	0	0	0	0
RNF14	55	75	64	7	36	18	7	43	40	49	37	69
AC005740.3	1	0	0	0	0	0	0	0	0	0	1	0
GNPDA1	400	640	266	613	432	180	102	352	431	369	322	460
AC005740.2	0	0	0	0	0	0	0	0	0	0	0	0
NDFIP1	1003	1074	647	309	244	234	164	656	522	596	544	1069
AC091825.3	17	27	13	7	1	5	2	14	19	20	16	22
SPRY4	0	0	0	0	0	0	0	0	0	3	0	0
AC091825.2	0	0	0	0	0	0	0	0	0	0	0	0
AC091825.1	0	0	0	0	0	0	0	0	0	0	0	0
SPRY4-AS1	0	0	0	0	0	0	0	0	0	0	0	0
RPS12P10	0	0	0	0	0	0	0	0	0	0	0	0
FGF1	0	0	0	0	0	0	0	0	0	0	0	0
AC005592.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01844	0	0	0	0	0	0	0	1	0	1	0	0
AC005592.2	0	0	0	0	0	0	0	3	0	0	0	0
ARHGAP26	71	355	294	93	51	58	49	170	105	140	92	98
ARHGAP26-AS1	0	1	0	0	0	0	0	0	1	0	0	0
AC008533.1	8	40	56	6	9	9	5	13	6	21	16	11
ARHGAP26-IT1	0	0	0	0	0	0	0	0	0	0	0	0
NR3C1	1670	2056	2466	455	1883	466	500	1220	972	1168	1269	1887
RPL7P21	0	0	0	0	0	0	0	0	0	0	0	0
AC091925.2	1	0	0	0	1	0	0	0	0	0	0	0
AC091925.1	0	1	4	0	4	0	1	0	1	0	0	0
AC016598.1	0	0	0	0	0	0	0	0	0	1	0	0
AC016598.2	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-156P	0	0	0	0	0	0	0	0	0	0	0	0
AC008696.2	0	0	0	0	2	0	1	0	1	0	0	0
MIR5197	0	0	0	0	0	0	0	0	0	0	0	0
AC008696.1	0	0	0	0	0	0	0	0	0	0	0	0
HMHB1	0	2	1	0	0	0	0	0	0	0	0	0
RN7SL87P	0	0	0	0	0	0	0	0	0	0	0	0
YIPF5	1030	494	387	58	151	159	122	239	146	226	150	1152
KCTD16	0	2	1	1	1	1	1	0	0	0	1	0
AC008652.1	0	0	0	0	0	0	0	0	0	0	0	0
AC109441.1	0	0	0	0	0	0	0	0	0	0	0	0
