	3399-OG-10	3399-OG-13	3399-OG-14	3399-OG-15	3399-OG-16	3399-OG-19	3399-OG-20	3399-OG-31	3399-OG-32	3399-OG-33	3399-OG-34	3399-OG-9
AL121894.1	0	0	0	0	0	0	0	0	0	0	0	0
AL121894.3	0	0	0	0	0	0	0	0	0	0	0	0
CST4	0	0	0	0	0	0	0	0	0	0	0	0
CST2P1	0	0	0	0	0	0	0	0	0	0	0	0
AL591074.2	0	0	0	0	0	0	0	0	0	0	0	0
CST1	0	0	0	0	0	0	0	0	0	0	0	0
CSTP2	0	0	0	0	0	0	0	0	0	0	0	0
AL591074.1	0	0	0	0	0	0	0	0	0	0	0	0
CST2	0	0	0	0	0	0	0	0	0	0	0	0
CST5	0	0	0	0	0	0	0	0	0	0	0	0
CSTP1	0	0	0	0	0	0	0	0	0	0	0	0
AL133466.1	0	0	0	0	0	0	0	0	0	0	0	0
GGTLC1	0	0	0	0	0	0	0	0	0	0	0	0
POM121L3P	0	0	0	0	0	0	0	0	0	0	0	0
LINC01721	0	0	0	0	0	0	0	0	0	0	0	0
AL110503.1	0	0	0	0	0	0	0	0	0	0	0	0
RNU1-23P	0	0	0	0	0	0	0	0	0	0	0	0
AL158090.1	0	0	0	0	0	0	0	0	0	0	0	0
GAPDHP53	0	0	0	0	0	0	0	0	0	0	0	0
SYNDIG1	0	0	0	0	0	0	0	0	0	0	0	0
AL157413.1	0	0	0	0	0	0	0	0	0	0	0	0
AL049594.1	0	0	0	0	0	0	0	0	0	0	0	0
AL035661.1	0	1	1	0	1	8	1	3	5	5	3	2
CST7	41	135	113	14	17	45	32	75	51	75	56	46
APMAP	474	795	721	122	136	202	143	910	861	879	684	505
RNU6-1257P	2	2	1	0	0	0	0	0	0	0	0	0
AL035661.2	0	0	0	0	1	0	1	0	3	1	1	2
ACSS1	141	132	84	19	15	13	16	45	56	64	36	146
AL080312.2	0	0	0	0	0	0	0	0	0	0	0	0
VSX1	0	0	0	0	0	0	0	0	0	0	0	0
AL080312.1	0	0	0	0	0	0	0	0	0	0	0	0
AL035252.2	0	0	0	2	0	0	0	2	0	0	0	0
AL035252.1	0	0	0	0	0	0	0	0	0	0	0	0
AL035252.5	0	0	0	0	0	0	0	0	0	3	0	0
ENTPD6	5	4	5	3	1	2	0	1	4	4	2	6
Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0
AL035252.4	0	0	0	0	0	0	0	0	0	0	0	0
AL035252.3	0	1	0	0	0	1	0	0	2	0	4	0
AL121772.1	0	0	0	0	0	1	0	0	0	0	0	1
PYGB	17	29	13	30	14	9	14	18	12	10	13	18
AL121772.2	0	0	0	0	0	0	0	0	0	0	0	0
AL121772.3	2	3	0	0	0	0	0	1	0	0	0	1
ABHD12	13	26	9	38	13	3	4	14	5	15	4	20
PPIAP2	0	0	0	0	0	0	0	0	0	0	0	0
GINS1	5	2	7	0	0	2	0	1	1	1	3	1
NINL	0	2	6	0	0	0	1	1	0	0	1	0
RNU6ATAC17P	0	0	0	0	0	0	0	0	0	0	0	0
NANP	1	8	3	1	4	2	0	3	4	2	5	8
ZNF337-AS1	5	3	1	0	0	0	0	0	1	0	0	1
RN7SL594P	0	0	0	0	0	0	0	0	0	0	0	0
MED28P7	0	0	0	0	0	0	0	0	0	0	0	0
ZNF337	4	1	0	0	0	0	1	0	1	1	1	0
AL031673.1	0	0	1	0	0	0	0	1	0	0	0	0
AL390198.1	0	0	0	0	0	0	0	0	0	0	0	0
VN1R108P	0	0	0	0	0	0	0	0	3	0	0	0
FAM182B	0	0	1	0	0	0	0	0	0	1	0	0
BSNDP1	0	0	0	0	0	0	0	0	0	0	0	0
AL390198.2	0	0	0	0	0	0	0	0	0	0	0	0
BSNDP2	0	0	0	0	0	0	0	0	0	0	0	0
CFTRP1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01733	0	0	0	0	0	0	0	0	0	0	0	0
FAM182A	0	0	0	0	0	0	0	0	0	2	0	0
AL078587.1	0	0	0	0	0	0	0	0	0	0	0	0
AL078587.2	0	0	0	0	0	0	0	0	0	0	1	0
AL450124.1	0	0	0	0	0	0	0	0	0	0	0	0
BSNDP3	0	0	0	0	0	0	0	0	0	0	0	0
NCOR1P1	0	0	0	0	0	0	0	0	0	0	0	0
AL391119.1	0	0	0	0	0	0	0	0	0	0	0	0
AL121904.2	0	0	0	0	0	0	0	0	0	0	0	0
MIR663AHG	0	0	0	1	0	1	3	0	0	0	0	1
AL121904.1	0	0	0	0	0	0	0	0	0	0	0	0
MIR663A	0	0	0	0	0	0	0	0	0	0	0	0
FRG1CP	84	81	70	36	29	34	28	75	54	88	73	84
FRG1DP	0	0	0	0	0	0	0	0	0	0	0	0
5_8S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L32	0	0	0	0	0	0	0	0	0	0	0	0
PCMTD1P7	0	1	2	1	0	0	0	0	1	0	0	1
DUX4L33	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L34	0	0	0	0	0	0	0	0	0	0	0	0
FRG2EP	0	0	0	0	0	0	0	0	0	0	0	0
RARRES2P11	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1P10	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L35	0	0	0	0	0	0	0	0	0	0	0	0
FRG1EP	0	0	0	0	0	0	0	3	2	1	0	0
FAM242B	0	0	0	0	0	0	0	0	0	0	0	0
Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0
